2025-10-20 18:45:17, MOVE, v:1, k:poo@motoca, mode:PICK
2025-10-20 18:45:18, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:79
2025-10-20 18:46:26, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:79
2025-10-20 18:46:36, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:79
2025-10-20 18:46:45, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:79
2025-10-20 18:47:01, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:79
2025-10-20 18:48:03, EXEC, v:1, k:poo@motoca, mode:FULL, rate:6, size:79
2025-10-20 18:48:42, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:79
2025-10-20 18:48:52, EXEC, v:1, k:poo@motoca, mode:FULL, rate:6, size:79
2025-10-20 18:54:23, EXEC, v:1, k:poo@motoca, mode:FULL, rate:6, size:81
2025-10-20 18:54:51, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:81
2025-10-20 18:55:16, EXEC, v:1, k:poo@motoca, mode:FULL, rate:6, size:81
2025-10-20 18:56:00, EXEC, v:1, k:poo@motoca, mode:FULL, rate:6
2025-10-20 18:56:31, EXEC, v:1, k:poo@motoca, mode:FULL, rate:6, size:81
2025-10-20 19:08:15, EXEC, v:1, k:poo@motoca, mode:FULL, rate:6, size:82
2025-10-20 19:08:31, EXEC, v:1, k:poo@motoca, mode:FULL, rate:6, size:82
2025-10-20 19:10:39, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:82
2025-10-20 19:10:48, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:82
2025-10-20 19:12:49, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:84
2025-10-20 19:12:59, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:84
2025-10-20 19:13:42, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:84
2025-10-20 19:15:12, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:84
2025-10-20 19:16:40, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0
2025-10-20 19:18:27, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:84
2025-10-20 19:19:10, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:86
2025-10-20 19:20:28, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:84
2025-10-20 19:20:45, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:84
2025-10-20 19:21:49, EXEC, v:1, k:poo@motoca, mode:FULL, rate:6, size:84
2025-10-20 19:24:06, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:85
2025-10-20 19:24:30, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:86
2025-10-20 19:25:08, EXEC, v:1, k:poo@motoca, mode:FULL, rate:6, size:86
2025-10-20 19:27:04, EXEC, v:1, k:poo@motoca, mode:FULL, rate:6, size:87
2025-10-20 19:27:51, EXEC, v:1, k:poo@motoca, mode:FULL, rate:6, size:87
2025-10-20 19:28:06, MOVE, v:1, k:poo@motoca, mode:PICK
2025-10-20 19:28:07, EXEC, v:1, k:poo@motoca, mode:FULL, rate:6, size:87
2025-10-20 19:28:59, EXEC, v:1, k:poo@motoca, mode:FULL, rate:6, size:87
2025-10-20 19:29:13, EXEC, v:1, k:poo@motoca, mode:FULL, rate:6, size:87
2025-10-20 19:30:37, EXEC, v:1, k:poo@motoca, mode:FULL, rate:6, size:87
2025-10-20 19:31:44, EXEC, v:1, k:poo@motoca, mode:FULL, rate:20, size:87
2025-10-20 19:37:23, EXEC, v:1, k:poo@motoca, mode:FULL, rate:20, size:87
2025-10-20 19:37:38, EXEC, v:1, k:poo@motoca, mode:FULL, rate:20, size:87
2025-10-20 19:38:16, EXEC, v:1, k:poo@motoca, mode:FULL, rate:20, size:87
2025-10-20 19:47:50, EXEC, v:1, k:poo@motoca, mode:FULL, rate:20, size:90
2025-10-20 19:48:16, EXEC, v:1, k:poo@motoca, mode:FULL, rate:20, size:90
2025-10-20 19:48:25, EXEC, v:1, k:poo@motoca, mode:FULL, rate:20, size:90
2025-10-20 19:48:27, EXEC, v:1, k:poo@motoca, mode:FULL, rate:20
2025-10-20 19:50:42, EXEC, v:1, k:poo@motoca, mode:FULL, rate:20, size:86
2025-10-20 19:52:23, EXEC, v:1, k:poo@motoca, mode:FULL, rate:20, size:87
2025-10-20 19:52:49, EXEC, v:1, k:poo@motoca, mode:FULL, rate:20, size:87
2025-10-20 19:53:07, EXEC, v:1, k:poo@motoca, mode:FULL, rate:33, size:87
2025-10-20 19:55:17, EXEC, v:1, k:poo@motoca, mode:FULL, rate:33, size:88
2025-10-20 19:57:11, EXEC, v:1, k:poo@motoca, mode:FULL, rate:33, size:89
2025-10-20 19:58:49, EXEC, v:1, k:poo@motoca, mode:FULL, rate:33, size:92
2025-10-20 19:59:32, EXEC, v:1, k:poo@motoca, mode:FULL, rate:33, size:94
2025-10-20 20:00:48, EXEC, v:1, k:poo@motoca, mode:FULL, rate:33, size:90
2025-10-20 20:01:43, EXEC, v:1, k:poo@motoca, mode:FULL, rate:33, size:90
2025-10-20 20:01:56, EXEC, v:1, k:poo@motoca, mode:FULL, rate:33, size:90
2025-10-20 20:03:54, EXEC, v:1, k:poo@motoca, mode:FULL, rate:33, size:90
2025-10-20 20:04:10, EXEC, v:1, k:poo@motoca, mode:FULL, rate:33, size:90
2025-10-20 20:04:27, EXEC, v:1, k:poo@motoca, mode:FULL, rate:33, size:90
2025-10-20 20:06:15, EXEC, v:1, k:poo@motoca, mode:FULL, rate:33, size:90
2025-10-20 20:09:26, EXEC, v:1, k:poo@motoca, mode:FULL, rate:33, size:91
2025-10-20 20:11:07, EXEC, v:1, k:poo@motoca, mode:FULL, rate:33, size:91
2025-10-20 20:12:24, EXEC, v:1, k:poo@motoca, mode:FULL, rate:33, size:91
2025-10-20 20:14:55, EXEC, v:1, k:poo@motoca, mode:FULL, rate:33, size:91
2025-10-20 20:19:43, EXEC, v:1, k:poo@motoca, mode:FULL, rate:40, size:91
