2025-10-21 00:02:43, EXEC, v:1, k:poo@motoca, mode:FULL, rate:53, size:94
2025-10-21 00:07:15, EXEC, v:1, k:poo@motoca, mode:FULL, rate:53, size:95
2025-10-21 00:07:51, EXEC, v:1, k:poo@motoca, mode:FULL, rate:60, size:95
2025-10-21 00:09:25, EXEC, v:1, k:poo@motoca, mode:FULL, rate:60, size:96
2025-10-21 00:12:20, EXEC, v:1, k:poo@motoca, mode:FULL, rate:60, size:97
2025-10-21 00:13:03, EXEC, v:1, k:poo@motoca, mode:FULL, rate:60, size:98
2025-10-21 00:14:24, EXEC, v:1, k:poo@motoca, mode:FULL, rate:60, size:98
2025-10-21 00:15:00, EXEC, v:1, k:poo@motoca, mode:FULL, rate:60, size:98
2025-10-21 00:15:48, EXEC, v:1, k:poo@motoca, mode:FULL, rate:60, size:98
2025-10-21 00:18:16, EXEC, v:1, k:poo@motoca, mode:FULL, rate:60, size:98
2025-10-21 00:21:53, EXEC, v:1, k:poo@motoca, mode:FULL, rate:60, size:102
2025-10-21 00:23:22, EXEC, v:1, k:poo@motoca, mode:FULL, rate:60, size:105
2025-10-21 00:24:51, EXEC, v:1, k:poo@motoca, mode:FULL, rate:60, size:102
2025-10-21 00:25:32, EXEC, v:1, k:poo@motoca, mode:FULL, rate:60, size:102
2025-10-21 00:28:21, EXEC, v:1, k:poo@motoca, mode:FULL, rate:60, size:102
2025-10-21 00:31:05, EXEC, v:1, k:poo@motoca, mode:FULL, rate:60, size:102
2025-10-21 00:34:36, EXEC, v:1, k:poo@motoca, mode:FULL, rate:80, size:101
2025-10-21 00:59:24, EXEC, v:1, k:poo@motoca, mode:FULL, rate:80, size:102
2025-10-21 00:59:52, EXEC, v:1, k:poo@motoca, mode:FULL, rate:86, size:102
2025-10-21 01:01:55, EXEC, v:1, k:poo@motoca, mode:FULL, rate:86, size:101
2025-10-21 01:02:09, EXEC, v:1, k:poo@motoca, mode:FULL, rate:86, size:102
2025-10-21 01:04:03, EXEC, v:1, k:poo@motoca, mode:FULL, rate:86, size:102
2025-10-21 01:04:43, EXEC, v:1, k:poo@motoca, mode:FULL, rate:60, size:104
2025-10-21 01:04:56, EXEC, v:1, k:poo@motoca, mode:FULL, rate:60, size:104
2025-10-21 01:05:08, EXEC, v:1, k:poo@motoca, mode:FULL, rate:60, size:104
2025-10-21 01:05:34, EXEC, v:1, k:poo@motoca, mode:FULL, rate:66, size:104
2025-10-21 01:06:05, EXEC, v:1, k:poo@motoca, mode:FULL, rate:86, size:102
2025-10-21 01:07:47, EXEC, v:1, k:poo@motoca, mode:FULL, rate:86
2025-10-21 01:10:24, EXEC, v:1, k:poo@motoca, mode:FULL, rate:86, size:103
2025-10-21 01:11:13, EXEC, v:1, k:poo@motoca, mode:FULL, rate:93, size:103
2025-10-21 01:14:38, EXEC, v:1, k:poo@motoca, mode:FULL, rate:93, size:105
2025-10-21 01:20:53, EXEC, v:1, k:poo@motoca, mode:FULL, rate:93, size:105
2025-10-21 01:21:17, EXEC, v:1, k:poo@motoca, mode:FULL, rate:93, size:105
2025-10-21 01:23:16, EXEC, v:1, k:poo@motoca, mode:FULL, rate:93, size:106
2025-10-21 01:23:30, EXEC, v:1, k:poo@motoca, mode:FULL, rate:93, size:106
2025-10-21 01:24:00, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:106
2025-10-21 01:24:06, EXEC, v:1, k:poo@motoca, mode:FULL, rate:93, size:106
2025-10-21 01:24:15, EXEC, v:1, k:poo@motoca, mode:FULL, rate:93, size:105
2025-10-21 01:24:23, EXEC, v:1, k:poo@motoca, mode:FULL, rate:93, size:105
2025-10-21 01:25:22, EXEC, v:1, k:poo@motoca, mode:FULL, rate:93, size:105
2025-10-21 01:28:22, EXEC, v:1, k:poo@motoca, mode:FULL, rate:100, size:105
